orden,rama,ocupacion,tareas,tecno
7377,EMPLEADA DOMESTICA EN CASA PARTICULAR,EMPLEADA DOMESTICA,LIMPIEZA EN CASA PARTICULAR,ELEMENTOS DE LIMPIEZA
7381,COMERCIANTE KIOSCO,ATENCION AL PUBLICO,ATENCION AL PUBLICO,
7383,ADMINISTRACION PUBLICA,EMPLEADO PUBLICO,ADMINISTRATIVO,COMPUTADORA
7386,DOCENTE,DOCENTE,DOCENCIA,"TIZA, COMPUTADORA"
7387,AMA DE CASA,,LIMPIEZA Y MANTENIMIENTO DE TAREAS DEL HOGAR,
7390,MINISTERIO DE DESARROLLO,FUNCIONARIO PUBLICO,ES JEFE EN UNA OFICINA,COMPUTADORA
7393,PANADERIA,AYUDANTE DE PANADERO,"ESTIBAR EL PAN, PINTAR LAS FACTURAS, LIMPIAR LAS LATAS","PINCELES, HUEVOS, REPASADORES"
7400,ALBAÑILERIA,ALBAÑIL,"HACER CIMIENTOS, CAVA, PAREDES, REVOQUE, FINO","PICO, PALA, ESCALERA, ANDAMIOS, ZARANDA"
7410,FABRICA DE ALIMENTOS,EMPLEADO DE MANTENIMIENTO,ARREGLO DE MAQUINAS,"PINZAS, DESTORNILLADOR, OTRAS"
7421,FABRICA DE HIERROS,EMPLEADO DE LIMPIEZA,LIMPIAR EL PATIO,MAQUINA PARA CORTAR CESPED
7426,FRIGORIFICO,EMBALADOR,EMBALABA LA CARNE QUE EXPORTABAN,"CINTA, LAS MANOS"
7427,CONSTRUCTORA,AYUDANTE DE ALBAÑIL,"LEVANTA PAREDES, LOZAS, PISO","PALA, MEZCLADORA"
7436,ELECTRONICA,VENDEDORA,"VENDER, COBRAR, ATENCION AL CLIENTE",CALCULADORA
7438,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,"LIMPIA, COCINA, PLANCHA","PLANCHA, COCINA, ASPIRADORA"
7451,ENSEÑANZA,"MAESTRA DE GRADO, DOCENTE","ENSEÑAR, PLANIFICAR, EVALUAR","COMPUTADORA, IMPRESORA, CAÑON MULTIMEDIA"
7467,FLETES,TRANSPORTISTA,CHOFER DE TRANSPORTE,"AUTOMOVIL, IMPLEMENTOS DE SEGURIDAD"
7472,SERVICIO DE SALUD,ENFERMERA,ENFERMERIA EN CONSULTORIO MEDICO,"INSTRUMENTOS MEDICOS, ARTICULOS DE OFICINA"
7473,RESTAURANTE,REPARTIDOR,REPARTIR PEDIDOS,"BOLSAS, PAQUETES, ELEMENTOS DE EMBALAJE"
7475,COMERCIO,ENCARGADA Y VENDEDORA,VENDEDORA EN UN LOCAL,PC
7476,BIJOUTERIE,VENTA DE BIJOUTERIE,ARMA Y VENDE BIJOUTERIE,PINZAS Y CUENTAS
7477,VOLANTEAR,REPARTIDOR DE VOLANTES,REPARTE VOLANTES,VOLANTES
7480,"ACTRIZ, PRODUCTORA",ACTRIZ,ACTUA O DIRIGE PELICULAS,
7486,TRABAJA POR SU CUENTA SIN ESTABLECIMIENTO,MANDATARIA DE AUTOMOTOR,GESTORIA,COMPUTADORA
7488,AMA DE CASA NO CORRESPONDE,AMA DE CASA NO CORRESPONDE,LIMPIEZA,"ESCOBILLON, TRAPEADOR, LAMPAZO"
7489,EMPRESA AGRICOLA,OBRERO RURAL,SIEMBRA,MAQUINARIA PARA SIEMBRA
7494,ASOCIACION NACIONAL DE PRESTAMOS,PROMOTORA,OFRECE PRESTAMOS,COMPUTADORA
7498,EMPRESA,SOLDADOR,SOLDADOR,"SOLDADORA, ELECTRODOS"
7513,AMA DE CASA NO CORRESPONDE,AMA DE CASA NO CORRESPONDE,LIMPIAR,"TRAPEADOR, LAMPAZO, ESCOBA"
7516,"VENTA DE SALAMANDRAS, CALEFACCION",COMERCIANTE,ATENCION AL PUBLICO,"MOLADOR, TORNO, CAJA REGISTRADORA"
7517,"VENTA DE SALAMANDRAS, CALEFACCION",COMERCIANTE,ATENCION AL PUBLICO Y ADMINISTRACION,"MOLADOR, TORNO, CALCULADORA"
7519,TIENE HORNO DE LADRILLOS,FABRICANTE DE LADRILLO ARTESANAL,FABRICA EN FORMA MANUAL,"MOLDE, PISADERO CABALLO QUE PISA EL BARRO, HORNALLA, HORQUILLA A LEÑA"
7520,EMPLEADA DE LIMPIEZA EN SANATORIO,MUCAMA DE SANATORIO,LIMPIEZA SIN ESTAR EN CONTACTO CON LOS PACIENTES,ARTICULOS DE LIMPIEZA
7521,PELUQUERIA,PELUQUERA,"ASISTENTE PELUQUERO, LAVA, HACE TRATAMIENTO DE PELO",PRODUCTOS DE CABELLO
7522,PIZZERIA Y PINTA ROPA,COCINERA,COCINA,"HORNO, UTENSILIOS DE COCINA"
7524,FIAMBRERIA,VENDIA,VENDIA,"FIAMBRERA, CUCHILLOS"
7525,CRIABA ANIMALES,CRIABA ANIMALES,"ORDEÑA LECHE, LA VENDE","MANOS, BRAZOS, LATIGO, CORREAS"
7527,COSER,COSTURERA,"COSER CORTINA, ARREGLOS DE ROPA","RECTA INDUSTRIAL, REMAYADORA"
7529,TRABAJO DOMESTICO POR HORA,EMPLEADA DOMESTICO,LIMPIEZA,"BALDE, SECADOR DE PISO, TRAPO DE PISO"
7543,CUIDO A UNA PAREJA DE ANCIANOS,DOMESTICA,"LIMPIEZA, CUIDADO Y COCINAR A UNOS ABUELOS","ESCOBILLON, UTENSILIOS DE LIMPIEZA"
7554,CURTIEMBRE,ARTESANO,"PREPARAR, COSER Y PEINAR EL CUERO, LANAR, FOLLAR","HILOS, AGUJAS, TIJERAS, PINZAS"
7558,EDUCACION,DIRECTORA DE NIVEL SECUNDARIO,"GESTION, GESTION PEDAGOGICA Y ADMINISTRATIVA","PC, LIBROS, APUNTES"
7560,FRIGORIFICO,SUPERVISOR,CONTROLAR SECCION PRODUCCIÃ“N,HERRAMIENTAS DE MANTENIMIENTO Y PRODUCCION
7583,PRODUCTOS COSMETICOS,ATENCION AL PUBLICO,"CAJERA, ATENCION AL PUBLICO",CALCULADORA
7586,FABRICA Y VENTA DE PASTAS FRESCAS,SECRETARIA,"PAGO DE LIQUIDACION DE IMPUESTOS, BANCO","CALCULADORA, COMPUTADORA"
7588,ESCUELA SECUNDARIA,DOCENTE SECUNDARIO,SECRETARIA,"COMPUTADORA, LIBROS DE ACTAS"
7598,AMA DE CASA TODA SU VIDA,AMA DE CASA,"LIMPIAR, PLANCHAR, CUIDAR HIJOS",PRODUCTOS DE LIMPIEZA
7602,"LACTEOS, FABRICA DE LACTEOS",EMPLEADO,ENCARGADO EN LOGISTICA,COMPUTADORA
7605,"SALUD, HOSPITAL NUESTRA SEÑORA DE LUJAN",TECNICA DE CARDIOLOGIA,"ELECTROCARDIOGRAMAS, CONTRA DEPRESION","ELECTROCARDIOGRAFO, TENSIOMETRO"
7607,INDUSTRIA AGROQUIMICA,SUPERVISOR,COORDINADOR DE TAREAS,"LAPICERA, COMPUTADORA, PIERNAS"
7612,LUGAR DE COMIDAS,"MOZO, COCINERA","ATENCION AL PUBLICO, COCINAR","MANOS, UTENSILIOS DE COCINA, BANDEJA"
7618,LIMPIEZA,EMPLEADA DOMESTICA,LIMPIAR,"ESCOBA, SECADOR, PRODUCTOS DE LIMPIEZA"
7620,CUSTODIA DE FISCAL,SEGURIDAD Y EMPLEADO ADMINISTRATIVO,CUSTODIA,ARMA REGLAMENTARIA
7626,EMPLEADO DE COMERCIO,COMERCIANTE,"ATENCION AL CLIENTE, VENTA DE REPUESTOS Y ACOMODA EL DEPOSITO","CAJA REGISTRADORA, BOLETAS"
7629,SERVICIO DE LIMPIEZA DE HOTEL,MUCAMA,"LIMPIA, ORDENA HABITACIONES DE HOTEL","LAVARROPA, PRODUCTOS DE LIMPIEZA"
7635,"ORGANIZABA PRENSA Y MUSICA DE UNA EMPRESA ARTISTICA, ACTUALMENTE HACE Y VENDE TEJIDOS","PERIODISMO, PRENSA, DIFUSION DE UNA EMPRESA QUE ORGANIZA SHOW, ARTESANIAS","SE HACIA CARGO DEL DEPARTAMENTO DE PRENSA DE HEREDIA PROC. ARTIST. Y PRODAR, TEJER","COMPUTADORA, TELEFONO, CELULAR, AGUJAS, HILOS Y LANAS"
7639,FRIGORIFICO MATARIFE,ESPECIALISTA PALETERO,"DESPANZA, MATA LA VACA, HACE LA PALETA, SACA CUERO","CUCHILLOS, SIERRAS"
7643,"PROFESORA Y SUPERVISORA, ENSEÑAR",DOCENTE,SUPERVISORA ARTISTICA DE ESTABLECIMIENTOS EDUCATIVOS DE LA ZONA DE JUNIN Y ALREDEDORES,COMPUTADORA
7647,"ALBAÑIL, CONSTRUIR",ALBAÑIL,OFICIAL ALBAÑIL,"MEZCLADORA, PALA"
7648,VENTA DE ROPA,COMERCIANTE,"VENDEDORA, COMPRAR Y VENDER",ROPA PARA MAYOR Y NIÑO
7652,"CONTADORA, EMPLEADA PUBLICA",CONTADORA,"CONSEJERA TECNICA, ASESORA",COMPUTADORA
7653,"CONTADOR, ESTUDIO CONTABLE",CONTADOR,PROFESIONAL AUTONOMA,COMPUTADORA
7666,EMPLEADA DOMESTICA,EMPLEADA DOMESTICA,LIMPIEZA GENERAL DE LA CASA,"ESCOBA, BALDE, PRODUCTOS DE LIMPIEZA"
7667,COMERCIO DE FOTOGRAFIA,EMPLEADO DE COMERCIO,ATENCION AL CLIENTE,"FOTOCOPIADORA, PLANERA, MAQUINA DE FOTO"
7679,JUBILADO DE VIALIDAD,TRABAJABA EN LAS RUTAS,MANEJABA MAQUINAS,
7689,AMA DE CASA,,LIMPIAR SU CASA,
7692,VENDEDOR,VENDEDOR,VENDE COCHES,
7693,AMA DE CASA,,,
7694,AMA DE CASA,,,
7696,ETIQUETA,EMPAQUETADOR Y CONDUCTOR DE RADIO,"ETIQUETA, EMPAQUETA LEÑA","EMPAQUETADORA, NYLON"
7700,TELEFONISTA DE UNA REMISERIA,TELEFONISTA,ATENCION AL CLIENTE,"TELEFONO, PLANILLAS"
7701,"CUIDAR ENFERMOS, ENFERMERA",CUIDAR ENFERMOS,CUIDAR ENFERMO,"MEDICAMENTOS, JERINGAS, SUEROS, TUBOS PARA CANALIZAR"
7713,SECRETARIO DE CONSEJO DELIBERANTE,SECRETARIA,ADMINISTRATIVA,"COMPUTADORAS, CELULAR"
7736,SERVICIO DOMESTICO,SERVICIO DOMESTICO,"LIMPIEZA, PLANCHADO",NINGUNA
7737,CARITAS,COCINERO,AYUDANTE DE COCINA,ELEMENTOS DE COCINA
7750,VENTA DE ROPA,VENDEDORA,VENDE,NINGUNO
7753,GASTRONOMIA,"MOZO, GASTRONOMICO",ATENCION AL PUBLICO,"MANOS, BANDEJA"
7754,ALGODONERA,HILANDERA,HACER CANILLAS DE HILO,MANOS
7756,PRODUCCION DE LECHE,"TRANSPORTISTA, CAMIONERO",REPARTO,CAMION
7760,SERVICIO DE CHARTER,"COLECTIVERO, CHOFER",CONDUCIR,COLECTIVO
7762,ESTABLECIMIENTO EDUCATIVO,PROFESORA DE EDUCACION FISICA,ACTIVIDAD FISICA CON NIÑOS,"SILBATO, PELOTAS, AROS"
7765,EN EL CLUB DE TENIS,MUCAMA Y EN EL SERVICIO,"COCINA, RECEPCION","BANDEJA, UTENSILIOS DE TODO"
7768,AMA DE CASA,AMA DE CASA,"LIMPIAR, COCINAR",PRODUCTOS DE LIMPIEZA Y PARA LA COCINA
7769,TRANSPORTE,CHOFER,MANEJAR,COLECTIVO
7774,VERDULERIA,ATENCION AL CLIENTE,VENDER,NINGUNA
7775,ALMACEN,ATENCIÃ“N AL PUBLICO,VENDER A LA GENTE,"BALANZA, HELADERA, ESTANTES, DE TODO"
7780,MUNICIPALIDAD DE LUJAN,TELEFONISTA,"MAYORDOMIA, ATENCIÃ“N DEL TELEFONO, SERVIA CAFÃ‰","TELEFONO, UTENSILIOS PARA EL CAFÃ‰"
7782,"NEGOCIO, ALMACEN",COMERCIANTE,VENTA AL PUBLICO,"SIERRA, PICADORA, BALANZA, CAJA REGISTRADORA"
7785,TRABAJABA EN EL HOSPITAL,ENFERMERA,ATENDER A LOS ENFERMOS,"AGUJAS, GUANTES, TODO LO QUE SE NECESITA PARA ESTERILIZAR"
7797,ESTUDIO JURIDICO,SECRETARIO,LLENAR EXPEDIENTES,MAQUINA DE ESCRIBIR
7799,FABRICA DE ACERO,ELECTRICISTA,"MANTENIMIENTO, PARTE DE ELECTRICIDAD",ELEMENTOS DE ELECTRICIDAD
7804,PANADERIA,PANADERO,ATENCION AL CLIENTE PANADERIA,"HORNO, MEZCLADORA"
7806,SERVICIO DOMESTICO,LIMPIEZA,"LIMPIEZA, PLANCHADO",ELEMENTOS DE LIMPIEZA
7808,PANIFICADORA,PANADERO,AMASADO Y PREPARACION DE PASTAS,SOBADORA
7810,EMPLEADO HOSPITAL PUBLICO,MUCAMA,"TAREAS DE LIMPIEZA, ATENCION",
7813,FERIANTE,VENDEDORA,VENDIA ARTESANIAS EN LA FERIA,NINGUNA
7819,SERVICIO DOMESTICO,DAMA DE COMPANIA Y LIMPIEZA,"ACOMPAÑA PERSONA MAYOR, LIMPIEZA DE LA CASA",
7834,TORNERIA,AYUDANTE DE TORNERO,AYUDANTE DE TORNO,TORNO
7844,CAJERA DE SUPERMERCADO,CAJERA,COBRO DE MERCADERIA,COMPUTADORA
7845,EMPLEADA DOMESTICA,EMPLEADA DOMESTICA,,NINGUNA
7848,MENSAJERIA,ATENCION AL PUBLICO,RECIBIA Y FILTRABA LA CORRESPONDENCIA,COMPUTADORA
7852,ADMINISTRACION PUBLICA,CONTADORA PUBLICA,TAREA ADMINISTRATIVA,COMPUTADORA
7859,CUIDA NIÑOS,NIÑERA,CUIDADO,
7860,PENSION NO CONTRIBUTIVA,"PENSION NO CONTRIBUTIVA, TRABAJOS INDEPENDIENTES","PENSION NO CONTRIBUTIVA, TRABAJOS INDEPENDIENTES",HERRAMIENTAS MANUALES
7861,DESOCUPADA,DESOCUPADA,DESOCUPADA,
7862,DESOCUPADA,DESOCUPADA,DESOCUPADA,
7865,ESTUDIANTE,,,
7869,PENSION NO CONTRIBUTIVA,"PENSION NO CONTRIBUTIVA, TRABAJOS INDEPENDIENTES",CHANGAS DE ALBAÑILERIA,HERRAMIENTAS MANUALES
7870,"JORNALERO, TAREAS RURALES",TAREAS DE CAMPO,"CORTE DE LEÑA, DESMONTE, CRIA ANIMALES",HERRAMIENTAS MANUALES
7871,ESTUDIANTE,ESTUDIANTE SECUNDARIO,ESTUDIANTE,ESTUDIANTE SECUNDARIO
7874,INSTITUTO DE REHABILITACION,"EMPLEADA, COCINERA",COCINERA,"HORNO COCINA, MESA, UTENSILIOS PARA COCINA"
7884,SERVICIO DE OBRAS PUBLICAS,EMPLEADO MUNICIPAL,GESTOR DE TRAMITES,"SELLOS, CUADERNOS DE NOTAS, EXPEDIENTES"
7890,"JUBILADA, POLICIA, ADMINISTRATIVA",POLICIA ADMINISTRATIVA,"ADMINISTRATIVO, ARMADO DE EXPEDIENTES","CUADERNO DE NOTAS, MAQUINA DE ESCRIBIR"
7896,DOMICILIO PARTICULARES,MANTENIMIENTO DE JARDINES,"PODA, MANTENIMIENTO DE PLANTAS","BORDEADORA, MOTOSIERRA"
7901,EMPLEADA EN CASA DE ELECTRODOMESTICOS,EMPLEADA EN VENTAS,"VENTAS AL PUBLICO, ATENCION AL CLIENTE","LISTADO DE PRECIOS, PRODUCTOS PARA VENTA"
7902,SERVICIO DE SEGURIDAD,RETIRADO DE LA POLICIA,"RECORRIDO POR LAS CALLES, VIGILANCIA POLICIAL","ARMAS, VEHICULOS, TONFA"
7908,LA ESPOSA NO TRABAJA,AMA DE CASA,SE ENCARGA DE LA TAREAS DOMESTICAS,
7910,POLICIA RETIRADO,POLICIA,SEGURIDAD,EQUIPO DE POLICIA
7911,ADMINISTRATIVOS,"ADMINISTRATIVO, SECRETARIO",TAREAS VARIAS,ELEMENTOS DE ESCRITORIO
7914,ORDENANZA,ORDENANZA EN UNA ESCUELA,"LIMPIEZA, MANTENIMIENTO",
7918,ALBAÑIL,ALBAÑIL,CONSTRUCCION,
7919,ALBAÑIL,ALBAÑIL,CONSTRUCCION,
7922,AMA DE CASA,AMA DE CASA,"LIMPIEZA, PLANCHADO, COCINA",ELEMENTOS DE LIMPIEZA Y MANTENIMIENTO DEL HOGAR
7925,ESTUDIA SECUNDARIO,ESTUDIANTE,,
7927,ALBAÑIL,CONSTRUCCION,CONSTRUCCION,"BALDE, PALA, MAQUINAS"
7932,POLICIA DE LA PROVINCIA,SARGENTO PRIMERO,"GUARDIA DE SEGURIDAD, VIGILANCIA, POLICIA","PISTOLA, TONFA, VEHICULOS PARA CIRCULAR"
7933,SUBSECRETARIA DE MINERIA,ADMINISTRATIVO CONTABLE,"ADMINISTRACION EN LA PARTE CONTABLE, AYUDANTE DEL CONTADOR",
7936,DIRIGIR EL TRANSITO EN LA CUIDAD,EMPLEADO MUNICIPAL DE TRANSITO,CONTROL DE DOCUMENTACION PARA CIRCULAR POR LA VIA PUBLICA,"LIBRETAS, SILBATO, VEHICULOS"
7940,DEPILACION A DOMICILIO,DEPILADORA,,
7945,EDUCACION Y ENSEÑANZA,DOCENTE DE ESCUELA PRIMARIA PUBLICA,"ENSEÑAR, DICTAR CLASES, PREPARAR CLASE","PIZARRON, PLANILLAS, CARPETAS, COMPUTADORAS"
7946,EDUCACION Y ENSEÑANZA,PRECEPTORA DE ESCUELA PUBLICA,"CONTROL DE ASISTENCIA, DISCIPLINA DE LOS ALUMNOS","COMPUTADORAS, FICHAS, PLANILLAS"
7948,FABRICA PRIVADA DE TEXTIL,OPERARIO DE UNA FABRICA TEXTIL,ENCONADO DE HILOS,ENCONADORA
7949,CUIDADORA A DOMICILIO,CUIDADORA DE PACIENTES POR DOMICILIO PARTICULAR,"CUIDADOR DE PERSONALES, CUIDADOR EN CAMA",
7953,TECNICA DE AUTOMOVILES,TECNICO MECANICO DE AUTOMOVILES,"ARREGLO DE AUTOS, SERVICE, CONTROL DE MOTORES","LLAVES, SOLDADURAS, LUBRICANTES"
7955,AMA DE CASA,AMA DE CASA,SERVICIO DE LIMPIEZA EN HOGAR PARTICULAR,
7956,VENTA DE COMERCIO DE PRODUCTOS AVICOLAS,COCINERA,"ATENCION AL PUBLICO, COCINERA, DESPOSTAR POLLOS",
7975,JUBILADO DE ALBAÑIL EN LA MUNICIPALIDAD,ALBAÑIL,"CONSTRUCCION DE CASAS, ALCANTARILLAS, PAREDES","CEMENTO, FIERRO, CAL, CUCHARA, MARTILLO, NIVELADOR, MAQUINA HORMIGONERA"
7984,CUIDADO DE UN MENOR,NIÑERA,ATENDER A LA NENA,
7989,JUBILADO COMO EMPLEADO DEL CORREO ARGENTINO,CARTERO,ENTREGA DE CARTAS,"BICICLETA, MOTO"
7990,JUBILADA DE AMA DE CASA,AMA DE CASA,"LIMPIAR, COCINAR, LIMPIAR","ESCOBA, ARAGAN, BALDE"
8007,JUBILADO DE VIALIDAD DE LA PROVINCIA,MECANICO DE MAQUINA PESADAS,ARREGLABA TODO TIPO DE MAQUINAS,HERRAMIENTAS PESADAS
8009,AYUDANTE DIPLOMADO AD HONOREM,DOCENTE,COLABORA EN EL DICTADO DE CLASES,"PIZARRON, FOTOCOPIAS"
8021,OFICINA COMERCIAL,SECRETARIA ADMINISTRATIVA,"PAGOS CONTABLES A PROVEEDORES, ATENCION AL PUBLICO","CALCULADORA, MAQUINAS DE ESCRITORIO"
8025,CONSTRUCCION,"OFICIOS DE LA CONSTRUCCION, PLOMERIA, GAS, LUZ","PLOMERIA, GASISTA, ELECTRICISTA, ALBAÑIL","MEZCLADORA, ANDAMIOS, COLADORA, CORTADORA"
8030,"DOCENTE, EDUCACION",PROFESORA DE ACTUACION,DABA CLASES DE ACTUACION,NO
8032,CONSTRUCCION,"EMPLEADA, ARQUITECTA","DIRIGE OBRA EN CONSTRUCCION, DISEÑA",COMPUTADORA
8041,"COMERCIO, ALMACEN","COMERCIANTE, ALMACENERO","ATENCION AL PUBLICO, DESPACHO DE COMESTIBLE","CORTADORA DE FIAMBRE, BALANZA"
8049,"PROFESOR, DICTADO DE CLASES",DOCENTE ESTATAL,ENSEÑANZA EN SECUNDARIA,"CUADERNOS, LAPICERAS, TIZAS, BORRADOR, PIZARRON, PORTAFOLIO"
8056,SERVICIOS EDUCATIVOS,PROFESOR DE ESCUELA SECUNDARIA Y TERCIARIO,ENSEÑAR GEOGRAFIA,"COMPUTADORA, PLANOS, MAPAS, PROYECTOS"
8058,NEGOCIO FAMILIAR DE ARTICULOS DE LIMPIEZA,"ATENCION AL PUBLICO, MANUTENCION DEL EQUIPO","ATENCION AL PUBLICO, ADMINISTRACION, ARMAR LA ESTANTERIA","ESTANTERIAS, CAJAS"
8063,CADETERIA,CADETE,MENSAJERIA,"ENVIO DE DOCUMENTOS, TRAMITES"
8076,SEGURIDAD,POLICIA OFICIAL,SEGURIDAD Y VIGILANCIA POLICIAL,"ESPOSAS, TONFA, ARMAS"
8084,COMERCIANTE EN NEGOCIO FAMILIAR,COMERCIO,"ATENCION AL PUBLICO, CONTROLAR PEDIDOS","CALCULADORA, ESCOBAS, ANOTADORES, LAPICERAS"
8085,AYUDANTE DE ALBAÑIL,ALBAÑILERIA,"LEVANTA LADRILLOS, SACA ESCOMBRO, PREPARA MATERIAL","PALA, CARRETILLA, MASA, PUNTA, CORTAFIERRO"
8088,GUARDERIA FAMILIAR CATAMARCA,CUIDADORA DE NIÑOS,CUIDA BEBES,"COCHES, CUNAS, MESITAS, JUGUETES"
8099,ESTUDIANTE,ESTUDIANTE,ESTUDIANTE,
8100,FUNCIONARIO POLICIAL,POLICIA,SEGURIDAD,ELEMENTOS PARA LA SEGURIDAD
8102,ESTUDIANTE,ESTUDIANTE,ESTUDIANTE,
8106,AMA DE CASA,AMA DE CASA,AMA DE CASA,
8107,ESTUDIANTE,ESTUDIANTE,ESTUDIANTE,
8109,ESTUDIANTE,ESTUDIANTE,ESTUDIANTE,
8117,ESTUDIANTE,ESTUDIANTE,,
8120,"TRABAJADOR INDEPENDIENTE, CHANGAS EN CONSTRUCCION",CHANGAS EN CONSTRUCCION,MEDIO OFICIAL ALBAÑIL,HERRAMIENTAS MANUALES
8125,ESTUDIANTE TERCIARIO,ESTUDIANTES TERCIARIOS,,
8128,AMA DE CASA,AMA DE CASA,AMA DE CASA,ELEMENTOS QUE USA UNA DOMESTICA
8130,DOCENTE,DOCENTE,ENSEÑANZA DE ALUMNOS,"MATERIALES DIDACTICOS, Y ELEMENTOS PARA LA ENSEÑANZA"
8135,AGENTE DE POLICIA,POLICIA,VIGILANCIA DE LA VIA PUBLICA,EQUIPO DE POLICIA
8143,FABRICA,EMPLEADO,PRODUCCION DE CALZADO,
8159,COCINERA BAJO PLAN JEFES Y JEFAS,COCINERA EN UN ESTABLECIMIENTO ESCOLAR,PREPARARA ALIMENTOS PARA LOS ALUMNOS DE LA ESCUELA,"COCINA, OLLA, OTROS UTENSILIOS"
8162,AMA DE CASA,,CRIANZA DE LOS NIÑOS,
8163,ESCUELA PUBLICA,MAESTRA AUXILIAR,DICTA CLASES EN UN JARDIN DE INFANTES,"PIZARRA, MARCADORES, TIJERAS, FOTOCOPIAS, BIROMES Y COLORES"
8174,BODEGA,BODEGUERO,"LIMPIA, FILTRA VINO, TRASLADA EL PRODUCTO","CLARK, ESCALERAS, MANGUERAS"
8179,PANIFICACION,AYUDANTE PANADERO,LIMPIEZA,ESCOBILLON
8193,BODEGA,ENOLOGO,HACE VINO,NO SABE
8198,MUNICIPALIDAD,ATENCION AL PUBLICO,ENCARGADO DE FUNCION DEL CENTRO DE COPIADO,GUARDAPOLVO
8206,EDUCACION,PROFESOR DE EDUCACION FISICA,DAR CLASES,NINGUNA
8207,EDUCACION,MAESTRA JARDINERA,DAR CLASES,NINGUNA
8209,"VIVERES SECOS, VENTA, DISTRIBUIDORA",COMERCIANTE INDEPENDIENTE,VENDE ALIMENTOS SECOS PARA INSTITUCIONES PUBLICAS,"EMPACADORA, BALANZAS, CAJAS, CINTAS, ADHESIVOS, BOLSAS DE NYLON"
8215,FINCA DE NUECES,AGRICULTOR,,
8220,PANIFICADOR,MAESTRO PANADERO,"AMASADO, HORNEADO","AMASADORA, SOBADORA, HORNO"
8224,VENTA Y COLOCACION DE EQUIPOS DE GNC,INSTALADOR DE TUBOS DE GNC,INSTALA Y REPARA EQUIPOS DE GNC,"PINZAS, LLAVES, FOSA"
8228,EDUCACION SECUNDARIA,"DOCENTE, PRECEPTOR","ENSEÑA, DICTA CLASES","PIZARRON, MARCADORES, PLANILLA"
8229,VENTA DE FRUTAS Y VERDURAS,ATENCION AL PUBLICO EN VERDULERIA,ATIENDE AL PUBLICO,"BALANZA, CAJA REGISTRADORA"
8236,CONSTRUCCION Y REPARACION EN GENERAL,"ALBAÑIL, AYUDANTE","PREPARA MEZCLA, PEGA LADRILLOS","HORMIGONERA, ANGARILLA"
8239,EMPLEADA DOMESTICA,EMPLEADA DOMESTICA,ASEO DE 2 CASA,ELEMENTOS DE LIMPIEZA
8240,"REPARACION, FABRICACION LLAVES Y CERRADURA",CERRAJERO,FABRICA Y REPARA LLAVES EN EL LOCAL Y EN DOMICILIO,"SIERRA ELECTRICA, TALADRO, ESMERIL"
8246,CENTRO DE SALUD,ENFERMERA,"CUIDA A LOS ENFERMOS, COLOCA INYECCIONES","GLUCOMETRO, TENSIOMETRO, TERMOMETRO"
8247,"SERVICIO DE FOTOCOPIADO, CYBER",ATENCION AL PUBLICO,ATENCION AL PUBLICO,COMPUTADORA
8250,"CENTRO DE SALUD, CLINICA PRIVADA",AYUDANTE DE ENFERMERIA,"TOMA PRESION, TEMPERATURA","TERMOMETRO, TENSIOMETRO"
8251,TALLER MECANICO DE MOTOS,MECANICO,"REPARACION , MECANICA DE MOTOS","LLAVES, PINZAS"
8254,HOTEL,"LIMPIEZA, RECEPCION","LIMPIEZA DE HABITACIONES, RECEPCION","ARTICULOS DE LIMPIEZA, COMPUTADORA, ESCRITORIO"
8256,VENDEDORA EN TIENDA DE ROPA,EMPLEADA DE COMERCIO,VENTA AL PUBLICO,NO ERAN NECESARIA
8257,"NIÑERA, CUIDABA NIÑOS",NIÑERA,CUIDABA NIÑOS,NO ERAN NECESARIA
8262,TAPICERIA,TAPICERO,TAPIZAR,"MARTILLO, PINZAS, MAQUINA DE COSER"
8263,ESCUELA,"PROFESORA DE INGLES, MATEMATICA, FISICA, QUIMICA","DAR CLASES, CORREGIR, ENSEÑAR","TIZAS, PIZARRON, CUADERNOS, PLANILLAS"
8267,CARPINTERIA,CARPINTERO,"FABRICACION, RESTAURACION","MARTILLO, ENGLETADORA, ATORNILLADORA"
8276,COMERCIANTE,FABRICA DE BOLSAS DE RESIDUOS,FABRICACION DE BOLSAS DE RESIDUOS,ADMINISTRACION DE LA EMPRESA Y PRODUCCION
8278,SERVICIO DE JUSTICIA,ADMINISTRACION PUBLICA,TAREAS ADMINISTRATIVAS,"COMPUTADORA, UTILES"
8295,PINTURA EN GENERAL,PINTOR,TODO TRABAJO DE PINTURAS,"PINTURA, PINCEL, RODILLO, BALDE"
8296,9801,NIÑERA,CUIDAR NIÑOS,NADA
8301,"VIAJES, TAXIS",TAXISTA,CONDUCE,AUTO
8303,SERVICIO DOMESTICO 98,NIÑERA,CUIDA NIÑOS,
8325,FOTOGRAFIA,COBRADOR,COBRANZA,AUTO
8340,CAMPO,PRODUCTOR AGROPECUARIO,TAREAS AGROPECUARIAS,"CAMIONETAS, MOTORES, BOMBAS"
8342,PLAN B,BARMAN,HACER TRAGOS,BOTELLAS
8357,CLINICA,COCINERA,HACE LA COMIDA PARA LOS ENFERMOS,"CUCHILLOS, CACEROLAS, HORNALLAS"
